continent;location;date;new_tests;total_tests;total_tests_per_thousand;new_tests_per_thousand;new_tests_smoothed;new_tests_smoothed_per_thousand;positive_rate;tests_per_case;tests_units;total_vaccinations;people_vaccinated;people_fully_vaccinated;new_vaccinations;new_vaccinations_smoothed;total_vaccinations_per_hundred;people_vaccinated_per_hundred;people_fully_vaccinated_per_hundred;new_vaccinations_smoothed_per_million;stringency_index;population_density;median_age;aged_65_older;aged_70_older;gdp_per_capita;extreme_poverty;cardiovasc_death_rate;diabetes_prevalence;female_smokers;male_smokers;handwashing_facilities;hospital_beds_per_thousand;life_expectancy;human_development_index
Africa;Algeria;2020/03/26;;;;;;;;;;;;;;;;;;;75;17,348;29,1;6,211;3,857;13913,839;0,5;278,364;6,73;0,7;30,4;83,741;1,9;76,88;0,748
Africa;Algeria;2020/03/27;;;;;;;;;;;;;;;;;;;75;17,348;29,1;6,211;3,857;13913,839;0,5;278,364;6,73;0,7;30,4;83,741;1,9;76,88;0,748
Africa;Algeria;2020/03/28;;;;;;;;;;;;;;;;;;;75;17,348;29,1;6,211;3,857;13913,839;0,5;278,364;6,73;0,7;30,4;83,741;1,9;76,88;0,748
Africa;Algeria;2020/03/29;;;;;;;;;;;;;;;;;;;75;17,348;29,1;6,211;3,857;13913,839;0,5;278,364;6,73;0,7;30,4;83,741;1,9;76,88;0,748
Africa;Algeria;2020/03/30;;;;;;;;;;;;;;;;;;;86,57;17,348;29,1;6,211;3,857;13913,839;0,5;278,364;6,73;0,7;30,4;83,741;1,9;76,88;0,748
Africa;Algeria;2020/03/31;;;;;;;;;;;;;;;;;;;86,57;17,348;29,1;6,211;3,857;13913,839;0,5;278,364;6,73;0,7;30,4;83,741;1,9;76,88;0,748
Africa;Algeria;2020/04/01;;;;;;;;;;;;;;;;;;;86,57;17,348;29,1;6,211;3,857;13913,839;0,5;278,364;6,73;0,7;30,4;83,741;1,9;76,88;0,748
Africa;Algeria;2020/04/02;;;;;;;;;;;;;;;;;;;86,57;17,348;29,1;6,211;3,857;13913,839;0,5;278,364;6,73;0,7;30,4;83,741;1,9;76,88;0,748
Africa;Algeria;2020/04/03;;;;;;;;;;;;;;;;;;;86,57;17,348;29,1;6,211;3,857;13913,839;0,5;278,364;6,73;0,7;30,4;83,741;1,9;76,88;0,748
Africa;Algeria;2020/04/04;;;;;;;;;;;;;;;;;;;86,57;17,348;29,1;6,211;3,857;13913,839;0,5;278,364;6,73;0,7;30,4;83,741;1,9;76,88;0,748
Africa;Algeria;2020/04/05;;;;;;;;;;;;;;;;;;;86,57;17,348;29,1;6,211;3,857;13913,839;0,5;278,364;6,73;0,7;30,4;83,741;1,9;76,88;0,748
Africa;Algeria;2020/04/06;;;;;;;;;;;;;;;;;;;86,57;17,348;29,1;6,211;3,857;13913,839;0,5;278,364;6,73;0,7;30,4;83,741;1,9;76,88;0,748
Africa;Algeria;2020/04/07;;;;;;;;;;;;;;;;;;;86,57;17,348;29,1;6,211;3,857;13913,839;0,5;278,364;6,73;0,7;30,4;83,741;1,9;76,88;0,748
Africa;Algeria;2020/04/08;;;;;;;;;;;;;;;;;;;86,57;17,348;29,1;6,211;3,857;13913,839;0,5;278,364;6,73;0,7;30,4;83,741;1,9;76,88;0,748
Africa;Algeria;2020/04/09;;;;;;;;;;;;;;;;;;;86,57;17,348;29,1;6,211;3,857;13913,839;0,5;278,364;6,73;0,7;30,4;83,741;1,9;76,88;0,748
Africa;Algeria;2020/04/10;;;;;;;;;;;;;;;;;;;86,57;17,348;29,1;6,211;3,857;13913,839;0,5;278,364;6,73;0,7;30,4;83,741;1,9;76,88;0,748
Africa;Algeria;2020/04/11;;;;;;;;;;;;;;;;;;;86,57;17,348;29,1;6,211;3,857;13913,839;0,5;278,364;6,73;0,7;30,4;83,741;1,9;76,88;0,748
Africa;Algeria;2020/04/12;;;;;;;;;;;;;;;;;;;86,57;17,348;29,1;6,211;3,857;13913,839;0,5;278,364;6,73;0,7;30,4;83,741;1,9;76,88;0,748
